id	token	Денис	Настя	Лена		
173	объясняемая	O	O	O		
174	изменением	O	O	O		
175	психофизиологического	B-TERM	O	B-TERM		
176	состояния	I-TERM	O	I-TERM		
177	пользователя	B-TERM	O	I-TERM		
178	,	O	O	O		
179	эргономичностью	B-TERM	O	B-TERM		
180	клавиатуры	I-TERM	O	I-TERM		
181	и	O	O	O		
182	т	O	O	O		
183	.	O	O	O		
184	д	O	O	O		
185	.	O	O	O		
186	Учитывая	O	O	O		
187	все	O	O	O		
188	вышеупомянутые	O	O	O		
189	особенности	B-TERM	O	O		
190	,	O	O	O		
191	дальнейшее	O	O	O		
192	решение	O	O	O		
193	задачи	B-TERM	O	O		
194	предлагается	O	O	O		
195	рассматривать	O	O	O		
196	в	O	O	O		
197	перспективе	O	O	O		
198	использования	O	O	O		
199	методов	B-TERM	O	O		
200	,	O	O	O		
201	основанных	O	O	O		
202	на	O	O	O		
203	интеллектуальной	B-TERM	O	B-TERM		
204	обработке	I-TERM	O	I-TERM		
205	данных	I-TERM	O	I-TERM		
206	,	O	O	O		
207	которые	O	O	O		
208	позволяют	O	O	O		
209	обнаруживать	O	O	O		
210	в	O	O	O		
211	потоке	B-TERM	O	B-TERM		
212	данных	I-TERM	O	I-TERM		
213	скрытые	O	O	O		
214	закономерности	B-TERM	O	B-TERM		
215	и	O	O	O		
216	зависимости	B-TERM	O	B-TERM		
217	.	O	O	O		
