id	token	Денис	Настя	Лена		
62	частые	B-TERM	O	O		
63	разрывы	I-TERM	B-TERM	B-TERM		
64	,	O	O	O		
65	использование	O	B-TERM	B-TERM		
66	NAT	B-TERM	I-TERM	I-TERM		
67	.	O	O	O		
68	В	O	O	O		
69	рамках	O	O	O		
70	данной	O	O	O		
71	работы	O	O	O		
72	разработано	O	O	O		
73	программное	B-TERM	B-TERM	B-TERM		
74	средство	I-TERM	I-TERM	I-TERM		
75	прозрачного	I-TERM	I-TERM	I-TERM		
76	доступа	I-TERM	I-TERM	I-TERM		
77	к	O	I-TERM	O		
78	параметрам	B-TERM	I-TERM	B-TERM		
79	бурения	I-TERM	I-TERM	I-TERM		
80	и	O	I-TERM	O		
81	данным	O	I-TERM	O		
82	скважинной	B-TERM	I-TERM	B-TERM		
83	телеметрической	I-TERM	I-TERM	I-TERM		
84	системы	I-TERM	I-TERM	I-TERM		
85	с	O	O	O		
86	целью	O	O	O		
87	организации	O	O	O		
88	удаленного	B-TERM	B-TERM	B-TERM		
89	сопровождения	I-TERM	I-TERM	I-TERM		
90	по	O	O	O		
91	существующим	O	O	O		
92	каналам	B-TERM	B-TERM	B-TERM		
93	связи	I-TERM	I-TERM	I-TERM		
94	с	O	O	O		
95	учетом	O	O	O		
96	их	O	O	O		
97	ограничений	O	O	O		
98	.	O	O	O		
99	В	O	O	O		
100	основу	O	O	O		
101	программного	B-TERM	B-TERM	B-TERM		
102	средства	I-TERM	I-TERM	I-TERM		
103	легла	O	O	O		
104	реализация	O	O	O		
105	протокола	B-TERM	B-TERM	B-TERM		
106	SSH	I-TERM	I-TERM	I-TERM		
107	,	O	O	O		
108	что	O	O	O		
109	обеспечило	O	O	O		
110	сжатие	B-TERM	B-TERM	B-TERM		
111	и	O	I-TERM	O		
112	шифрование	B-TERM	I-TERM	B-TERM		
113	передаваемых	O	I-TERM	I-TERM		
114	данных	B-TERM	I-TERM	I-TERM		
115	и	O	I-TERM	O		
116	прозрачный	B-TERM	I-TERM	B-TERM		
117	доступ	I-TERM	I-TERM	I-TERM		
118	к	O	I-TERM	O		
119	TCP	B-TERM	I-TERM	B-TERM		
120	-	I-TERM	I-TERM	I-TERM		
121	сервисам	I-TERM	I-TERM	I-TERM		
122	на	O	O	O		
123	буровой	O	O	B-TERM		
124	.	O	O	O		
125	Благодаря	O	O	O		
126	этому	O	O	O		
127	возможно	O	O	O		
128	использование	O	O	O		
129	существующего	O	O	O		
130	ПО	B-TERM	B-TERM	B-TERM		
131	для	O	O	O		
132	доступа	O	O	O		
133	к	O	O	O		
134	данным	O	O	O		
135	телеметрической	B-TERM	B-TERM	B-TERM		
136	системы	I-TERM	I-TERM	I-TERM		
137	,	O	O	O		
138	что	O	O	O		
139	позволяет	O	O	O		
140	снизить	O	O	O		
141	объем	B-TERM	B-TERM	B-TERM		
142	передаваемых	O	I-TERM	I-TERM		
143	данных	B-TERM	I-TERM	I-TERM		
144	в	O	O	O		
145	сравнении	O	O	O		
146	с	O	O	O		
147	ПО	B-TERM	B-TERM	B-TERM	или 	B-TERM
148	удаленных	I-TERM	I-TERM	I-TERM		B-TERM
149	рабочих	I-TERM	I-TERM	I-TERM		I-TERM
150	столов	I-TERM	I-TERM	I-TERM		I-TERM
151	.	O	O	O		
152	Программное	B-TERM	B-TERM	B-TERM		
153	средство	I-TERM	I-TERM	I-TERM		
154	прошло	O	O	O		
155	апробацию	O	O	O		
156	в	O	O	O		
157	условиях	O	O	O		
158	,	O	O	O		
159	близким	O	O	O		
160	к	O	O	O		
161	полевым	O	O	O		
162	,	O	O	O		
163	и	O	O	O		
164	показало	O	O	O		
165	свою	O	O	O		
166	пригодность	O	O	O		
167	к	O	O	O		
168	решению	O	O	O		
169	поставленных	O	O	O		
170	задач	O	O	O		
171	.	O	O	O		
