id	token	Денис	Настя	Лена
109	платформы	I-TERM	I-TERM	I-TERM
110	,	O	O	O
111	упрощающей	O	O	O
112	эти	O	O	O
113	задачи	O	O	O
114	.	O	O	O
115	Архитектура	B-TERM	B-TERM	B-TERM
116	платформы	I-TERM	I-TERM	I-TERM
117	удовлетворяет	O	O	O
118	требованиям	B-TERM	B-TERM	O
119	простоты	I-TERM	I-TERM	O
120	подключения	I-TERM	I-TERM	O
121	сторонних	I-TERM	I-TERM	O
122	средств	I-TERM	I-TERM	B-TERM
123	трансформации	I-TERM	I-TERM	I-TERM
124	,	O	O	O
125	переиспользования	B-TERM	B-TERM	O
126	отдельных	I-TERM	I-TERM	O
127	модулей	I-TERM	I-TERM	B-TERM
128	,	O	O	O
129	а	O	O	O
130	также	O	O	O
131	интеграции	B-TERM	O	O
132	результирующих	I-TERM	B-TERM	B-TERM
133	средств	I-TERM	I-TERM	I-TERM
134	трансформации	I-TERM	I-TERM	I-TERM
135	в	O	O	O
136	другие	O	O	O
137	системы	B-TERM	B-TERM	B-TERM
138	,	O	O	O
139	в	O	O	O
140	том	O	O	O
141	числе	O	O	O
142	в	O	O	O
143	системы	B-TERM	B-TERM	B-TERM
144	тестирования	I-TERM	I-TERM	I-TERM
145	.	O	O	O
146	Строительными	O	O	O
147	блоками	O	O	O
148	создаваемых	O	O	O
149	систем	B-TERM	B-TERM	B-TERM
150	трансформации	I-TERM	I-TERM	I-TERM
151	служат	O	O	O
152	отдельные	O	O	O
153	модули	B-TERM	B-TERM	B-TERM
154	трансформации	I-TERM	I-TERM	I-TERM
155	,	O	O	O
156	упакованные	O	O	O
157	в	O	O	O
158	Docker	B-TERM	B-TERM	B-TERM
159	-	I-TERM	I-TERM	I-TERM
160	контейнеры	I-TERM	I-TERM	I-TERM
161	.	O	O	O
162	Программный	B-TERM	B-TERM	B-TERM
163	доступ	I-TERM	I-TERM	I-TERM
164	к	O	O	O
165	каждому	O	O	O
166	модулю	B-TERM	B-TERM	B-TERM
167	осуществляется	O	O	O
168	при	O	O	O
169	помощи	O	O	O
170	gRPC	B-TERM	B-TERM	B-TERM
171	.	O	O	O
172	Загруженные	O	O	O
173	в	O	O	O
174	платформу	O	B-TERM	B-TERM
175	модули	B-TERM	B-TERM	B-TERM
176	могут	O	O	O
177	быть	O	O	O
178	выстроены	O	O	O
179	в	O	O	O
180	конвейер	B-TERM	B-TERM	B-TERM
181	трансформации	I-TERM	I-TERM	I-TERM
182	автоматически	O	O	O
183	или	O	O	O
184	вручную	O	O	O
185	при	O	O	O
186	помощи	O	O	O
187	встроенного	O	O	O
188	стороннего	O	O	O
189	редактора	B-TERM	B-TERM	B-TERM
190	диаграмм	I-TERM	I-TERM	I-TERM
191	потоков	I-TERM	I-TERM	I-TERM
192	данных	I-TERM	I-TERM	I-TERM
193	SciVi	I-TERM	I-TERM	I-TERM
194	.	O	O	O
195	Совместимость	B-TERM	O	O
196	отдельных	O	O	O
197	модулей	B-TERM	B-TERM	B-TERM
198	контролируется	O	O	O
199	при	O	O	O
200	помощи	O	O	O
201	автоматического	B-TERM	O	O
202	анализа	I-TERM	B-TERM	B-TERM
203	программных	I-TERM	I-TERM	I-TERM
204	интерфейсов	I-TERM	I-TERM	I-TERM
205	.	O	O	O
206	На	O	O	O
207	основании	O	O	O
208	спецификации	B-TERM	B-TERM	B-TERM
209	конвейера	I-TERM	I-TERM	I-TERM
210	в	O	O	O
211	формате	B-TERM	O	O
212	,	O	O	O
213	поддерживаемом	O	O	O
214	SciVi	B-TERM	B-TERM	B-TERM
215	,	O	O	O
216	а	O	O	O
217	также	O	O	O
218	gRPC	B-TERM	B-TERM	B-TERM
219	-	I-TERM	I-TERM	I-TERM
220	спецификаций	I-TERM	O	O
221	отдельных	O	O	O
222	модулей	B-TERM	B-TERM	B-TERM
223	комплексируется	O	O	O
224	единое	B-TERM	O	O
225	многоконтейнерное	I-TERM	B-TERM	B-TERM
226	приложение	I-TERM	I-TERM	I-TERM
227	,	O	O	O
228	которое	O	O	O
229	может	O	O	O
230	быть	O	O	O
231	интегрировано	O	O	O
232	в	O	O	O
233	другие	O	O	O
234	системы	B-TERM	B-TERM	B-TERM
235	,	O	O	O
236	а	O	O	O
237	также	O	O	O
238	протестировано	O	O	O
239	на	O	O	O
240	пополняемом	O	O	O
241	наборе	O	O	O
242	тестов	B-TERM	O	O
243	.	O	O	O
244	Ожидаемые	O	O	O
245	и	O	O	O
246	фактические	O	O	O
247	результаты	B-TERM	B-TERM	B-TERM
248	трансформации	I-TERM	I-TERM	I-TERM
249	запроса	I-TERM	I-TERM	I-TERM
250	доступны	O	O	O
251	для	O	O	O
252	просмотра	O	O	O
253	в	O	O	O
254	графическом	B-TERM	B-TERM	B-TERM
255	виде	I-TERM	I-TERM	I-TERM
256	в	O	O	O
257	разработанном	O	O	O
258	ранее	O	O	O
259	средстве	B-TERM	O	B-TERM
260	визуализации	I-TERM	B-TERM	I-TERM
261	.	O	I-TERM	O
