id	token	Денис	Настя	Лена		
66	эйлерово	B-TERM	B-TERM	B-TERM		
67	-	I-TERM	I-TERM	I-TERM		
68	лагранжева	I-TERM	I-TERM	I-TERM		
69	подхода	I-TERM	I-TERM	I-TERM		
70	,	O	O	O		
71	в	O	O	O		
72	котором	O	O	O		
73	физические	B-TERM	B-TERM	B-TERM		
74	величины	I-TERM	I-TERM	I-TERM		
75	сосредоточены	O	O	O		
76	в	O	O	O		
77	материальных	B-TERM	B-TERM	B-TERM		
78	точках	I-TERM	I-TERM	I-TERM		
79	,	O	O	O		
80	что	O	O	O		
81	характерно	O	O	O		
82	для	O	O	O		
83	метода	B-TERM	B-TERM	B-TERM		
84	SPH	I-TERM	I-TERM	I-TERM		
85	(	O	O	O		
86	Smoothed	B-TERM	B-TERM	B-TERM		
87	Particle	I-TERM	I-TERM	I-TERM		
88	Hydrodynamics	I-TERM	I-TERM	I-TERM		
89	),	O	O	O		
90	а	O	O	O		
91	расчет	O	O	B-TERM		
92	сил	O	O	I-TERM		
93	производится	O	O	O		
94	на	O	O	O		
95	адаптивной	B-TERM	B-TERM	B-TERM		
96	сетке	I-TERM	I-TERM	I-TERM		
97	,	O	O	O		
98	привязанной	O	O	O		
99	к	O	O	O		
100	системе	B-TERM	B-TERM	B-TERM		
101	материальных	I-TERM	I-TERM	I-TERM		
102	точек	I-TERM	I-TERM	I-TERM		
103	.	O	O	O		
104	Такой	O	O	O		
105	подход	O	O	O		
106	единообразно	O	O	O		
107	учитывает	O	O	O		
108	как	O	O	O		
109	динамику	B-TERM	B-TERM	B-TERM		
110	сплошной	I-TERM	I-TERM	B-TERM		
111	среды	I-TERM	I-TERM	I-TERM		
112	,	O	O	O		
113	так	O	O	O		
114	и	O	O	O		
115	дискретных	B-TERM	B-TERM	B-TERM		
116	частиц	I-TERM	I-TERM	I-TERM		
117	,	O	O	O		
118	а	O	O	O		
119	также	O	O	O		
120	позволяет	O	O	O		
121	устранить	O	O	O		
122	ряд	O	O	O		
123	недостатков	O	O	O		
124	,	O	O	O		
125	присущих	O	O	O		
126	оригинальному	O	O	O		
127	методу	B-TERM	B-TERM	B-TERM		
128	.	O	O	O		
129	Расчет	O	B-TERM	B-TERM		
130	гравитационного	B-TERM	B-TERM	B-TERM		
131	взаимодействия	I-TERM	I-TERM	I-TERM		
132	осуществляется	O	O	O		
133	путем	O	O	O		
134	решения	O	B-TERM	O		
135	уравнения	B-TERM	B-TERM	B-TERM		
136	Пуассона	I-TERM	I-TERM	I-TERM		
137	для	I-TERM	I-TERM	O		
138	гравитационного	I-TERM	I-TERM	B-TERM		
139	потенциала	I-TERM	I-TERM	I-TERM		
140	.	O	O	O		
141	При	O	O	O		
142	этом	O	O	O		
143	все	O	O	O		
144	частицы	B-TERM	O	B-TERM		
145	проецируются	O	O	O		
146	на	O	O	O		
147	расчетную	B-TERM	B-TERM	B-TERM		
148	сетку	I-TERM	I-TERM	I-TERM		
149	и	O	O	O		
150	уже	O	O	O		
151	по	O	O	O		
152	ней	O	O	O		
153	вычисляются	O	O	O		
154	значения	B-TERM	B-TERM	B-TERM		
155	потенциала	I-TERM	I-TERM	I-TERM		
156	в	O	O	O		
157	каждой	O	O	O		
158	ячейке	O	B-TERM	B-TERM		
159	.	O	O	O		
160	Решение	O	B-TERM	B-TERM		
161	уравнения	B-TERM	B-TERM	I-TERM		
162	Пуассона	I-TERM	I-TERM	I-TERM		
163	для	I-TERM	I-TERM	O		
164	гравитационного	I-TERM	I-TERM	I-TERM		
165	потенциала	I-TERM	I-TERM	I-TERM		
166	выполняется	O	O	O		
167	с	O	O	O		
168	использованием	O	O	O		
169	быстрого	B-TERM	B-TERM	B-TERM		
170	преобразования	B-TERM	I-TERM	I-TERM		
171	Фурье	I-TERM	I-TERM	I-TERM		
172	.	O	O	O		
173	В	O	O	O		
174	статье	O	O	O		
175	описан	O	O	O		
176	новый	O	O	O		
177	код	O	B-TERM	B-TERM		
178	«	O	I-TERM	I-TERM		
179	Виртуальный	B-TERM	I-TERM	I-TERM		
180	планетарий	I-TERM	I-TERM	I-TERM		
181	»	O	I-TERM	I-TERM		
182	для	O	I-TERM	O		
183	моделирования	B-TERM	I-TERM	B-TERM		
184	астрофизических	I-TERM	I-TERM	I-TERM		
185	объектов	I-TERM	I-TERM	I-TERM		
186	на	O	I-TERM	O		
187	основе	O	I-TERM	O		
188	метода	B-TERM	I-TERM	B-TERM		
189	SPH	I-TERM	I-TERM	I-TERM		
190	,	O	O	O		
191	дополненным	O	O	O		
192	методом	B-TERM	B-TERM	B-TERM		
193	Годунова	I-TERM	I-TERM	I-TERM		
194	для	I-TERM	I-TERM	O		
195	вычисления	I-TERM	I-TERM	B-TERM		
196	потоков	I-TERM	I-TERM	B-TERM		
197	давления	I-TERM	I-TERM	I-TERM		
198	и	I-TERM	I-TERM	O		
199	импульса	I-TERM	I-TERM	B-TERM		
200	между	I-TERM	I-TERM	I-TERM		
201	частицами	I-TERM	I-TERM	I-TERM		
202	,	O	O	O		
203	и	O	O	O		
204	методом	O	B-TERM	B-TERM		
205	быстрого	B-TERM	I-TERM	I-TERM		
206	преобразования	B-TERM	I-TERM	I-TERM		
207	Фурье	I-TERM	I-TERM	I-TERM		
208	для	O	I-TERM	O		
209	решения	O	I-TERM	B-TERM		
210	уравнения	B-TERM	I-TERM	I-TERM		
211	Пуассона	I-TERM	I-TERM	I-TERM		
212	для	I-TERM	I-TERM	O		
213	гравитационного	I-TERM	I-TERM	B-TERM		
214	потенциала	I-TERM	I-TERM	I-TERM		
215	.	O	O	O		
216	В	O	O	O		
217	работе	O	O	O		
218	описано	O	O	O		
219	обоснование	O	O	O		
220	для	O	O	O		
221	перехода	O	B-TERM	O		
222	к	O	I-TERM	O		
223	такой	O	I-TERM	O		
224	вычислительной	B-TERM	I-TERM	B-TERM		
225	модели	I-TERM	I-TERM	I-TERM		
226	,	O	O	O		
227	детально	O	O	O		
228	описаны	O	O	O		
229	кинетические	B-TERM	B-TERM	B-TERM		
230	и	O	I-TERM	I-TERM		
231	гидродинамические	B-TERM	I-TERM	I-TERM		
232	подходы	I-TERM	I-TERM	I-TERM		
233	.	O	O	O		
234	Выполнено	O	O	O		
235	моделирование	B-TERM	B-TERM	B-TERM		
236	коллапса	I-TERM	I-TERM	I-TERM		
237	изотермического	I-TERM	I-TERM	I-TERM		
238	газового	I-TERM	I-TERM	I-TERM		
239	облака	I-TERM	I-TERM	I-TERM		
240	,	O	O	O		
241	показана	O	O	O		
242	возможность	O	O	O		
243	метода	B-TERM	B-TERM	B-TERM		
244	воспроизводить	O	O	O		
245	развитие	O	B-TERM	B-TERM		
246	неустойчивостей	O	I-TERM	I-TERM		
247	в	O	I-TERM	O		
248	виде	O	I-TERM	O		
249	образования	O	I-TERM	O		
250	двух	O	I-TERM	O		
251	рукавов	B-TERM	I-TERM	B-TERM		
252	плотности	I-TERM	I-TERM	I-TERM		
253	.	O	O	O		
