id	token	Денис	Настя	Лена
169	критериев	B-TERM	B-TERM	B-TERM
170	корректности	I-TERM	I-TERM	I-TERM
171	работы	I-TERM	I-TERM	I-TERM
172	алгоритма	I-TERM	I-TERM	I-TERM
173	является	O	O	O
174	безопасность	B-TERM	O	O
175	данного	O	O	O
176	преобразования	B-TERM	B-TERM	B-TERM
177	.	O	O	O
178	Пользователь	O	O	O
179	не	O	O	O
180	может	O	O	O
181	доверять	O	O	O
182	инструменту	O	B-TERM	O
183	,	O	O	O
184	если	O	O	O
185	преобразование	B-TERM	B-TERM	B-TERM
186	может	O	O	O
187	изменять	O	O	O
188	семантику	B-TERM	B-TERM	B-TERM
189	кода	I-TERM	I-TERM	I-TERM
190	.	O	O	O
191	В	O	O	O
192	данной	O	O	O
193	статье	O	O	O
194	рассматриваются	O	O	O
195	различные	O	O	O
196	ограничения	O	O	B-TERM
197	,	O	O	O
198	которые	O	O	O
199	накладываются	O	O	O
200	на	O	O	O
201	шаблоны	B-TERM	B-TERM	B-TERM
202	кода	I-TERM	I-TERM	I-TERM
203	,	O	O	O
204	для	O	O	O
205	того	O	O	O
206	,	O	O	O
207	чтобы	O	O	O
208	преобразование	B-TERM	B-TERM	B-TERM
209	без	O	O	O
210	искажения	O	O	O
211	семантики	B-TERM	B-TERM	B-TERM
212	было	O	O	O
213	возможно	O	O	O
214	.	O	O	O
215	Данный	O	O	O
216	рефакторинг	B-TERM	B-TERM	B-TERM
217	был	O	O	O
218	протестирован	O	O	O
219	на	O	O	O
220	различных	O	O	O
221	библиотеках	B-TERM	B-TERM	B-TERM
222	,	O	O	O
223	для	O	O	O
224	проверки	O	O	O
225	сохранения	O	O	O
226	семантики	B-TERM	B-TERM	B-TERM
227	,	O	O	O
228	путем	O	O	O
229	проверки	O	O	O
230	результатов	O	B-TERM	B-TERM
231	тестирования	O	I-TERM	I-TERM
232	до	O	O	O
233	и	O	O	O
234	после	O	O	O
235	применения	O	O	O
236	рефакторинга	B-TERM	B-TERM	B-TERM
237	.	O	O	O
238	В	O	O	O
239	данной	O	O	O
240	статье	O	O	O
241	не	O	O	O
242	будет	O	O	O
243	обсуждаться	O	O	O
244	влияние	O	O	O
245	использования	O	O	O
246	Stream	B-TERM	B-TERM	B-TERM
247	API	I-TERM	I-TERM	I-TERM
248	на	O	O	O
249	производительность	B-TERM	B-TERM	B-TERM
250	приложения	I-TERM	I-TERM	I-TERM
251	.	O	O	O
