id	token	Настя	Денис	Лена	tag
146	данных	I-TERM	I-TERM	I-TERM	O
147	,	O	O	O	O
148	модель	B-TERM	B-TERM	B-TERM	O
149	для	I-TERM	O	O	O
150	описания	I-TERM	B-TERM	B-TERM	O
151	и	I-TERM	O	O	O
152	формализации	I-TERM	B-TERM	B-TERM	O
153	сценариев	I-TERM	I-TERM	I-TERM	O
154	обработки	I-TERM	I-TERM	I-TERM	O
155	данных	I-TERM	I-TERM	I-TERM	O
156	и	O	O	O	O
157	механизмы	B-TERM	B-TERM	B-TERM	O
158	для	I-TERM	O	O	O
159	обработки	I-TERM	B-TERM	B-TERM	O
160	собранных	I-TERM	O	O	O
161	данных	I-TERM	B-TERM	B-TERM	O
162	в	O	O	O	O
163	распределенной	B-TERM	O	B-TERM	B-TERM
164	вычислительной	B-TERM	B-TERM	I-TERM	B-TERM
165	системе	I-TERM	I-TERM	I-TERM	I-TERM
166	.	O	O	O	O
167	В	O	O	O	O
168	результате	O	O	O	O
169	представлена	O	O	O	O
170	архитектура	B-TERM	B-TERM	B-TERM	O
171	вычислительной	I-TERM	I-TERM	I-TERM	B-TERM
172	системы	I-TERM	I-TERM	I-TERM	I-TERM
173	для	O	O	O	O
174	сбора	I-TERM	B-TERM	B-TERM	O
175	,	O	O	O	O
176	хранения	B-TERM	B-TERM	B-TERM	O
177	и	O	O	O	O
178	обработки	B-TERM	B-TERM	B-TERM	O
179	экспериментальных	I-TERM	I-TERM	I-TERM	O
180	данных	I-TERM	I-TERM	I-TERM	O
181	.	O	O	O	O
182	Система	B-TERM	B-TERM	B-TERM	O
183	предлагается	O	O	O	O
184	в	O	O	O	O
185	качестве	O	O	O	O
186	инструмента	B-TERM	B-TERM	B-TERM	O
187	для	O	O	O	O
188	решения	O	O	O	O
189	широкого	O	O	O	O
190	спектра	O	O	O	O
191	задач	O	B-TERM	B-TERM	O
192	,	O	O	O	O
193	возникающих	O	O	O	O
194	при	O	O	O	O
195	проведении	O	O	O	O
196	b	B-TERM	B-TERM	B-TERM	O
197	исследований	I-TERM	I-TERM	I-TERM	O
198	и	O	O	O	O
199	требующих	O	O	O	O
200	сбора	B-TERM	B-TERM	B-TERM	O
201	,	O	O	O	O
202	хранения	B-TERM	B-TERM	B-TERM	O
203	и	O	O	O	O
204	многоэтапной	B-TERM	B-TERM	B-TERM	O
205	обработки	I-TERM	I-TERM	I-TERM	O
206	различных	I-TERM	O	O	O
207	типов	I-TERM	B-TERM	B-TERM	O
208	данных	I-TERM	I-TERM	I-TERM	O
209	.	O	O	O	O
