id	token	Настя	Денис	Лена	tag
82	работе	O	O	O	O
83	с	O	O	O	O
84	животными	O	B-TERM	B-TERM	O
85	,	O	O	O	O
86	для	O	O	O	O
87	решения	O	O	O	O
88	задач	O	B-TERM	O	O
89	агробиологии	B-TERM	I-TERM	B-TERM	O
90	.	O	O	O	O
91	Наследственная	B-TERM	B-TERM	B-TERM	O
92	предрасположенность	I-TERM	I-TERM	I-TERM	O
93	животных	I-TERM	I-TERM	I-TERM	O
94	к	O	I-TERM	O	O
95	агрессивному	B-TERM	I-TERM	B-TERM	O
96	поведению	I-TERM	I-TERM	I-TERM	O
97	приводит	O	O	O	O
98	к	O	O	O	O
99	появлению	O	O	O	O
100	различий	O	O	O	O
101	в	O	O	O	O
102	строении	B-TERM	B-TERM	B-TERM	O
103	головного	I-TERM	I-TERM	I-TERM	O
104	мозга	I-TERM	I-TERM	I-TERM	O
105	,	O	O	O	O
106	и	O	O	O	O
107	сравнение	O	O	O	O
108	таких	O	O	O	O
109	различий	O	O	O	O
110	позволит	O	O	O	O
111	найти	O	O	O	O
112	как	O	O	O	O
113	общие	O	O	O	O
114	,	O	O	O	O
115	так	O	O	O	O
116	и	O	O	O	O
117	специфичные	O	O	O	O
118	механизмы	B-TERM	B-TERM	B-TERM	O
119	регуляции	I-TERM	I-TERM	I-TERM	O
120	поведения	I-TERM	I-TERM	I-TERM	O
121	,	O	O	O	O
122	способствующие	O	O	O	O
123	проявлению	O	O	O	O
124	агрессии	B-TERM	B-TERM	B-TERM	O
125	в	O	O	O	O
126	провоцирующих	B-TERM	O	B-TERM	O
127	условиях	I-TERM	O	I-TERM	O
128	среды	I-TERM	B-TERM	I-TERM	O
129	.	O	O	O	O
130	Представлены	O	O	O	O
131	компьютерные	B-TERM	B-TERM	B-TERM	O
132	программы	I-TERM	I-TERM	I-TERM	O
133	анализа	I-TERM	I-TERM	I-TERM	O
134	сплайсинга	I-TERM	I-TERM	I-TERM	O
135	и	O	O	O	O
136	прототип	B-TERM	B-TERM	B-TERM	O
137	базы	I-TERM	I-TERM	I-TERM	O
138	данных	I-TERM	I-TERM	I-TERM	O
139	экспрессии	I-TERM	I-TERM	I-TERM	O
140	генов	I-TERM	I-TERM	I-TERM	O
141	в	O	O	O	O
142	отделах	B-TERM	B-TERM	B-TERM	O
143	мозга	I-TERM	I-TERM	I-TERM	O
144	лабораторных	I-TERM	I-TERM	I-TERM	O
145	животных	I-TERM	I-TERM	I-TERM	O
146	–	O	O	O	O
147	серых	B-TERM	B-TERM	B-TERM	O
148	крыс	I-TERM	I-TERM	I-TERM	O
149	,	O	O	O	O
150	селектированных	B-TERM	O	O	O
151	по	O	O	O	O
152	проявлению	O	O	O	O
153	агрессивного	B-TERM	B-TERM	B-TERM	O
154	поведения	I-TERM	I-TERM	I-TERM	O
155	.	O	O	O	O
156	Выполнена	O	O	O	O
157	функциональная	B-TERM	B-TERM	B-TERM	O
158	аннотация	I-TERM	I-TERM	I-TERM	O
159	генов	I-TERM	I-TERM	I-TERM	O
160	с	O	O	O	O
161	повышенной	O	O	O	O
162	и	O	O	O	O
163	пониженной	O	O	O	O
164	экспрессией	B-TERM	B-TERM	B-TERM	O
165	в	O	O	O	O
166	экспериментах	O	B-TERM	B-TERM	O
167	на	O	O	O	O
168	крысах	O	B-TERM	B-TERM	O
169	,	O	O	O	O
170	рассмотрены	O	O	O	O
171	варианты	B-TERM	B-TERM	B-TERM	O
172	изоформ	I-TERM	I-TERM	I-TERM	O
173	и	O	I-TERM	O	O
174	альтернативного	B-TERM	I-TERM	B-TERM	O
175	сплайсинга	I-TERM	I-TERM	I-TERM	O
176	этих	O	O	O	O
177	генов	B-TERM	B-TERM	B-TERM	O
178	.	O	O	O	O
