id	token	Денис	Настя	Лена	auto_tag
109	цунами	B-TERM	B-TERM	B-TERM	O
110	у	O	O	O	O
111	защищаемой	O	O	O	O
112	береговой	B-TERM	B-TERM	B-TERM	O
113	линии	I-TERM	I-TERM	I-TERM	O
114	.	O	O	O	O
115	В	O	O	O	O
116	статье	O	O	O	O
117	рассмотрены	O	O	O	O
118	основные	O	O	O	O
119	этапы	O	O	O	O
120	работы	O	O	O	O
121	системы	B-TERM	B-TERM	B-TERM	O
122	,	O	O	O	O
123	такие	O	O	O	O
124	как	O	O	O	O
125	мониторинг	B-TERM	B-TERM	B-TERM	O
126	сейсмической	I-TERM	I-TERM	I-TERM	O
127	активности	I-TERM	I-TERM	I-TERM	O
128	,	O	O	O	O
129	извлечение	O	O	O	O
130	данных	O	O	O	O
131	с	O	O	O	O
132	DART	B-TERM	B-TERM	B-TERM	O
133	станций	I-TERM	O	I-TERM	O
134	,	O	O	O	O
135	фильтрация	O	O	O	O
136	приливной	B-TERM	B-TERM	B-TERM	O
137	компоненты	I-TERM	I-TERM	I-TERM	O
138	,	O	O	O	O
139	расчет	O	O	O	O
140	времени	B-TERM	O	O	O
141	добегания	I-TERM	B-TERM	B-TERM	O
142	волны	I-TERM	I-TERM	I-TERM	O
143	и	O	O	O	O
144	непосредственно	O	O	O	O
145	моделирование	O	B-TERM	B-TERM	O
146	,	O	O	O	O
147	и	O	O	O	O
148	промежуточные	O	O	O	O
149	шаги	O	O	O	O
150	,	O	O	O	O
151	связанные	O	O	O	O
152	с	O	O	O	O
153	предобработкой	O	O	O	O
154	и	O	O	O	O
155	трансформацией	O	O	O	O
156	данных	O	O	O	O
157	.	O	O	O	O
158	Особое	O	O	O	O
159	внимание	O	O	O	O
160	уделяется	O	O	O	O
161	разработке	B-TERM	B-TERM	B-TERM	O
162	архитектуры	I-TERM	B-TERM	B-TERM	O
163	системы	I-TERM	I-TERM	I-TERM	O
164	,	O	O	O	O
165	взаимодействие	O	O	O	O
166	между	O	O	O	O
167	модулями	B-TERM	B-TERM	B-TERM	O
168	построено	O	O	O	O
169	таким	O	O	O	O
170	образом	O	O	O	O
171	,	O	O	O	O
172	чтобы	O	O	O	O
173	в	O	O	O	O
174	дальнейшем	O	O	O	O
175	реализации	O	O	O	O
176	алгоритмов	B-TERM	B-TERM	B-TERM	O
177	могли	O	O	O	O
178	дорабатываться	O	O	O	O
179	и	O	O	O	O
180	беспрепятственно	O	O	O	O
181	встраиваться	O	O	O	O
182	в	O	O	O	O
183	систему	B-TERM	B-TERM	B-TERM	O
184	.	O	O	O	O
