id	token	Настя	Денис	Лена	tag
144	использованием	I-TERM	O	O	O
145	сопроцессоров	I-TERM	B-TERM	B-TERM	O
146	Intel	I-TERM	I-TERM	I-TERM	O
147	Xeon	I-TERM	I-TERM	I-TERM	O
148	Phi	I-TERM	I-TERM	I-TERM	O
149	–	O	O	O	O
150	"	O	O	O	O
151	РСК	O	B-TERM	O	O
152	ПетаСтрим	O	I-TERM	O	O
153	").	O	O	O	O
154	Представлены	O	O	O	O
155	сравнительные	B-TERM	B-TERM	B-TERM	O
156	тесты	I-TERM	I-TERM	I-TERM	O
157	ускорений	I-TERM	I-TERM	I-TERM	O
158	на	O	O	O	O
159	разных	O	B-TERM	O	O
160	архитектурах	B-TERM	I-TERM	B-TERM	O
161	,	O	O	O	O
162	а	O	O	O	O
163	также	O	O	O	O
164	описаны	O	O	O	O
165	особенности	B-TERM	B-TERM	O	O
166	распараллеливания	I-TERM	I-TERM	B-TERM	O
167	алгоритма	I-TERM	I-TERM	I-TERM	O
168	.	O	O	O	O
