id	token	Денис	Настя	Лена	auto_tag
70	излучения	I-TERM	I-TERM	I-TERM	O
71	зашумлены	O	O	O	O
72	и	O	O	O	O
73	обладают	O	O	O	O
74	высокой	O	O	O	O
75	флуктуацией	B-TERM	B-TERM	B-TERM	O
76	,	O	O	O	O
77	что	O	O	O	O
78	влияет	O	O	O	O
79	на	O	O	O	O
80	качественную	O	B-TERM	O	O
81	оценку	O	I-TERM	O	O
82	результатов	O	O	O	O
83	исследования	O	O	O	O
84	.	O	O	O	O
85	Качественная	O	B-TERM	O	O
86	оценка	O	I-TERM	O	O
87	наряду	O	O	O	O
88	с	O	O	O	O
89	автоматической	O	O	O	O
90	важна	O	O	O	O
91	при	O	O	O	O
92	работе	O	O	O	O
93	с	O	O	O	O
94	каротажными	B-TERM	B-TERM	B-TERM	O
95	данными	I-TERM	I-TERM	I-TERM	O
96	.	O	O	O	O
97	Она	O	O	O	O
98	позволяет	O	O	O	O
99	предотвратить	O	O	O	O
100	передачу	O	O	O	O
101	заведомо	O	O	O	O
102	ложных	O	O	O	O
103	результатов	O	O	O	O
104	,	O	O	O	O
105	а	O	O	O	O
106	также	O	O	O	O
107	работу	O	O	O	O
108	неисправных	O	O	O	O
109	приборов	O	O	O	O
110	.	O	O	O	O
111	В	O	O	O	O
112	данной	O	O	O	O
113	статье	O	O	O	O
114	рассмотрен	O	O	O	O
115	алгоритм	B-TERM	B-TERM	B-TERM	O
116	,	O	O	O	O
117	позволяющий	O	O	O	O
118	уменьшить	O	O	O	O
119	флуктуацию	B-TERM	B-TERM	B-TERM	O
120	с	O	O	O	O
121	учетом	O	O	O	O
122	статистической	B-TERM	B-TERM	B-TERM	O
123	зависимости	I-TERM	I-TERM	I-TERM	O
124	соседних	O	O	O	O
125	элементов	B-TERM	B-TERM	B-TERM	O
126	спектра	I-TERM	I-TERM	I-TERM	O
127	,	O	O	O	O
128	для	O	O	O	O
129	улучшения	O	O	O	O
130	качественной	O	B-TERM	O	O
131	оценки	O	I-TERM	O	O
132	результатов	O	O	O	O
133	исследования	O	O	O	O
134	.	O	O	O	O
135	Так	O	O	O	O
136	как	O	O	O	O
137	спектры	B-TERM	B-TERM	B-TERM	O
138	сигнала	I-TERM	I-TERM	I-TERM	O
139	являются	O	O	O	O
140	случайными	B-TERM	B-TERM	B-TERM	B-TERM
141	величинами	I-TERM	I-TERM	I-TERM	I-TERM
142	,	O	O	O	O
143	в	O	O	O	O
144	ходе	O	O	O	O
145	рассмотрения	O	O	O	O
146	различных	O	O	O	O
147	способов	O	O	O	O
148	обработки	O	O	O	O
149	спектров	B-TERM	O	O	O
150	решено	O	O	O	O
151	применять	O	O	O	O
152	функции	B-TERM	B-TERM	B-TERM	O
153	сглаживания	I-TERM	I-TERM	I-TERM	O
154	,	O	O	O	O
155	а	O	O	O	O
156	именно	O	O	O	O
157	B	B-TERM	B-TERM	B-TERM	O
158	-	I-TERM	I-TERM	I-TERM	O
159	сплайн	I-TERM	I-TERM	I-TERM	O
160	.	O	O	O	O
161	В	O	O	O	O
162	процессе	O	O	O	O
163	применения	O	O	O	O
164	различных	O	O	O	O
165	вариаций	O	O	O	O
166	параметров	O	O	O	O
167	B	B-TERM	B-TERM	B-TERM	O
168	-	I-TERM	I-TERM	I-TERM	O
169	сплайна	I-TERM	I-TERM	I-TERM	O
170	к	O	O	O	O
171	спектрам	B-TERM	B-TERM	B-TERM	O
172	гамма	I-TERM	I-TERM	I-TERM	O
173	-	I-TERM	I-TERM	I-TERM	O
174	излучения	I-TERM	I-TERM	I-TERM	O
175	оказалось	O	O	O	O
176	,	O	O	O	O
177	что	O	O	O	O
178	квадратичный	O	O	O	O
179	однородный	O	O	O	O
180	B	B-TERM	B-TERM	B-TERM	O
181	-	I-TERM	I-TERM	I-TERM	O
182	сплайн	I-TERM	I-TERM	I-TERM	O
183	с	O	O	O	O
184	интервалом	O	O	O	O
185	узлов	O	O	O	O
186	7	O	O	O	O
187	показал	O	O	O	O
188	лучшие	O	O	O	O
189	результаты	O	O	O	O
190	в	O	O	O	O
191	достижении	O	O	O	O
192	цели	O	O	O	O
193	улучшения	O	O	O	O
194	качественной	O	B-TERM	O	O
195	оценки	O	I-TERM	O	O
196	.	O	O	O	O
197	Таким	O	O	O	O
198	образом	O	O	O	O
199	,	O	O	O	O
200	разработан	O	O	O	O
201	алгоритм	B-TERM	B-TERM	B-TERM	O
202	дополнительной	O	O	O	O
203	предобработки	O	O	O	O
204	,	O	O	O	O
205	уменьшающий	O	O	O	O
206	флуктуацию	B-TERM	O	B-TERM	O
207	спектров	I-TERM	B-TERM	B-TERM	O
208	гамма	I-TERM	I-TERM	I-TERM	O
209	-	I-TERM	I-TERM	I-TERM	O
210	излучения	I-TERM	I-TERM	I-TERM	O
211	,	O	O	O	O
212	для	O	O	O	O
213	улучшения	O	O	O	O
214	качественной	O	B-TERM	O	O
215	оценки	O	I-TERM	O	O
216	результатов	O	O	O	O
217	такого	O	O	O	O
218	геофизического	O	O	O	O
219	исследования	O	O	O	O
220	,	O	O	O	O
221	как	O	O	O	O
222	импульсный	B-TERM	B-TERM	B-TERM	O
223	нейтронный	I-TERM	I-TERM	I-TERM	O
224	гамма	I-TERM	I-TERM	I-TERM	O
225	-	I-TERM	I-TERM	I-TERM	O
226	каротаж	I-TERM	I-TERM	I-TERM	O
227	.	O	O	O	O
