id	token	Денис	Настя	Лена		
74	занятий	I-TERM	I-TERM	I-TERM		
75	.	O	O	O		
76	Если	O	O	O		
77	база	B-TERM	B-TERM	B-TERM		
78	практики	I-TERM	I-TERM	I-TERM		
79	внешняя	O	O	O		
80	,	O	O	O		
81	т	O	O	O		
82	.	O	O	O		
83	е	O	O	O		
84	.	O	O	O		
85	не	O	O	O		
86	входит	O	O	O		
87	в	O	O	O		
88	организационную	B-TERM	B-TERM	B-TERM		
89	структуру	I-TERM	I-TERM	I-TERM		
90	образовательного	I-TERM	I-TERM	I-TERM		
91	учреждения	I-TERM	I-TERM	I-TERM		
92	,	O	O	O		
93	то	O	O	O		
94	с	O	O	O		
95	ней	O	O	O		
96	должен	O	O	O		
97	быть	O	O	O		
98	заключен	O	O	O		
99	договор	B-TERM	O	B-TERM		
100	.	O	O	O		
101	В	O	O	O		
102	статье	O	O	O		
103	представлен	O	O	O		
104	опыт	O	O	O		
105	разработки	O	O	O		
106	и	O	O	O		
107	внедрения	O	O	O		
108	в	O	O	O		
109	НИУ	B-TERM	O	O		
110	МЭИ	I-TERM	O	O		
111	информационной	B-TERM	B-TERM	B-TERM		
112	системы	I-TERM	I-TERM	I-TERM		
113	,	O	O	O		
114	автоматизирующей	O	O	O		
115	процесс	O	O	B-TERM		
116	распределения	O	O	I-TERM		
117	студентов	O	O	I-TERM		
118	по	O	O	O		
119	базам	O	O	B-TERM		
120	практик	O	O	I-TERM		
121	и	O	O	O		
122	подготовку	O	O	O		
123	сопутствующей	O	O	O		
124	документации	B-TERM	O	B-TERM		
125	.	O	O	O		
126	Программная	O	O	O		
127	реализация	O	O	O		
128	включает	O	O	O		
129	модуль	B-TERM	B-TERM	B-TERM		
130	импорта	I-TERM	I-TERM	I-TERM		
131	данных	I-TERM	I-TERM	I-TERM		
132	из	O	O	O		
133	других	O	O	O		
134	информационных	B-TERM	B-TERM	B-TERM		
135	систем	I-TERM	I-TERM	I-TERM		
136	,	O	O	O		
137	модуль	B-TERM	B-TERM	B-TERM	или	B-TERM
138	редактирования	I-TERM	I-TERM	I-TERM		I-TERM
139	календарного	I-TERM	I-TERM	I-TERM		B-TERM
140	графика	I-TERM	I-TERM	I-TERM		I-TERM
141	практик	I-TERM	I-TERM	I-TERM		I-TERM
142	,	O	O	O		
143	модуль	B-TERM	B-TERM	B-TERM	или	B-TERM
144	ведения	I-TERM	I-TERM	I-TERM		I-TERM
145	справочной	I-TERM	I-TERM	I-TERM		B-TERM
146	информации	I-TERM	I-TERM	I-TERM		I-TERM
147	о	I-TERM	I-TERM	I-TERM		O
148	предприятиях	I-TERM	I-TERM	I-TERM		B-TERM
149	-	I-TERM	I-TERM	I-TERM		I-TERM
150	партнёрах	I-TERM	I-TERM	I-TERM		I-TERM
151	,	O	O	O		
152	модуль	B-TERM	B-TERM	B-TERM		
153	формирования	I-TERM	I-TERM	I-TERM		
154	и	I-TERM	I-TERM	I-TERM		
155	согласования	I-TERM	I-TERM	I-TERM		
156	заявок	I-TERM	I-TERM	I-TERM		
157	с	I-TERM	I-TERM	O		
158	распределением	I-TERM	I-TERM	O		
159	студентов	I-TERM	I-TERM	O		
160	,	O	O	O		
161	модуль	B-TERM	B-TERM	B-TERM		
162	подготовки	I-TERM	I-TERM	I-TERM		
163	печатных	I-TERM	I-TERM	I-TERM		
164	форм	I-TERM	I-TERM	I-TERM		
165	документов	I-TERM	I-TERM	I-TERM		
166	,	O	O	O		
167	модуль	B-TERM	B-TERM	B-TERM		
168	построения	I-TERM	I-TERM	I-TERM		
169	статистической	I-TERM	I-TERM	I-TERM		
170	отчётности	I-TERM	I-TERM	I-TERM		
171	.	O	O	O		
172	Статья	O	O	O		
173	описывает	O	O	O		
174	работу	O	O	O		
175	каждого	O	O	O		
176	из	O	O	O		
177	модулей	B-TERM	B-TERM	B-TERM		
178	,	O	O	O		
179	отмечаются	O	O	O		
180	их	O	O	O		
181	преимущества	O	O	O		
182	перед	O	O	O		
183	ручной	B-TERM	O	B-TERM		
184	обработкой	I-TERM	O	I-TERM		
185	данных	I-TERM	O	I-TERM		
186	.	O	O	O		
187	Раскрыты	O	O	O		
188	некоторые	O	O	O		
189	технические	B-TERM	B-TERM	B-TERM		
190	решения	I-TERM	I-TERM	I-TERM		
191	и	O	O	O		
192	характеристики	B-TERM	B-TERM	B-TERM		
193	программной	I-TERM	I-TERM	I-TERM		
194	системы	I-TERM	I-TERM	I-TERM		
195	,	O	O	O		
196	отдельное	O	O	O		
197	внимание	O	O	O		
198	уделено	O	O	O		
199	разграничению	O	B-TERM	B-TERM		
200	прав	B-TERM	I-TERM	I-TERM		
201	доступа	I-TERM	I-TERM	I-TERM		
202	.	O	O	O		
