id	token	Настя	Денис	Лена	tag
75	процесса	I-TERM	I-TERM	I-TERM	I-TERM
76	под	O	O	O	O
77	управлением	O	O	O	O
78	АСУ	B-TERM	B-TERM	B-TERM	O
79	ТП	I-TERM	I-TERM	I-TERM	O
80	.	O	O	O	O
81	Математические	B-TERM	B-TERM	B-TERM	B-TERM
82	модели	I-TERM	I-TERM	I-TERM	I-TERM
83	используются	O	O	O	O
84	для	O	O	O	O
85	формирования	B-TERM	O	B-TERM	O
86	наборов	I-TERM	B-TERM	I-TERM	O
87	тестовых	I-TERM	I-TERM	I-TERM	O
88	данных	I-TERM	I-TERM	I-TERM	O
89	.	O	O	O	O
90	Разработан	O	O	O	O
91	имитационный	B-TERM	B-TERM	B-TERM	O
92	программно	I-TERM	I-TERM	I-TERM	O
93	-	I-TERM	I-TERM	I-TERM	O
94	аппаратный	B-TERM	I-TERM	B-TERM	B-TERM
95	комплекс	I-TERM	I-TERM	I-TERM	I-TERM
96	.	O	O	O	O
97	Основными	O	O	O	O
98	частями	O	O	O	O
99	комплекса	B-TERM	B-TERM	B-TERM	O
100	являются	O	O	O	O
101	:	O	O	O	O
102	рабочая	B-TERM	B-TERM	B-TERM	B-TERM
103	станция	I-TERM	I-TERM	I-TERM	I-TERM
104	оператора	I-TERM	I-TERM	I-TERM	O
105	SCADA	I-TERM	I-TERM	I-TERM	O
106	,	O	O	O	O
107	рабочая	B-TERM	B-TERM	B-TERM	B-TERM
108	станция	I-TERM	I-TERM	I-TERM	I-TERM
109	оператора	I-TERM	I-TERM	I-TERM	O
110	модели	I-TERM	I-TERM	I-TERM	O
111	,	O	O	O	O
112	среда	B-TERM	B-TERM	B-TERM	O
113	передачи	I-TERM	I-TERM	I-TERM	O
114	данных	I-TERM	I-TERM	I-TERM	O
115	,	O	O	O	O
116	блок	B-TERM	B-TERM	B-TERM	O
117	формирования	I-TERM	I-TERM	I-TERM	O
118	физических	I-TERM	I-TERM	I-TERM	O
119	сигналов	I-TERM	I-TERM	I-TERM	O
120	,	O	O	O	O
121	блок	B-TERM	B-TERM	B-TERM	O
122	дублирования	I-TERM	I-TERM	I-TERM	O
123	физических	I-TERM	I-TERM	I-TERM	O
124	сигналов	I-TERM	I-TERM	I-TERM	O
125	и	O	O	O	O
126	программируемые	B-TERM	B-TERM	B-TERM	O
127	логические	I-TERM	I-TERM	I-TERM	O
128	контроллеры	I-TERM	I-TERM	I-TERM	O
129	АСУ	I-TERM	I-TERM	I-TERM	O
130	ТП	I-TERM	I-TERM	I-TERM	O
131	.	O	O	O	O
132	В	O	O	O	O
133	качестве	O	O	O	O
134	среды	B-TERM	B-TERM	B-TERM	O
135	имитационного	I-TERM	I-TERM	I-TERM	B-TERM
136	моделирования	I-TERM	I-TERM	I-TERM	I-TERM
137	применена	O	O	O	O
138	система	B-TERM	B-TERM	B-TERM	O
139	MTSS	I-TERM	I-TERM	I-TERM	O
140	.	O	O	O	O
141	Предложен	O	O	O	O
142	и	O	O	O	O
143	реализован	O	O	O	O
144	вариант	O	O	O	O
145	развития	O	O	O	O
146	способа	B-TERM	B-TERM	B-TERM	O
147	Hardware	I-TERM	I-TERM	I-TERM	O
148	-	I-TERM	I-TERM	I-TERM	O
149	in	I-TERM	I-TERM	I-TERM	O
150	-	I-TERM	I-TERM	I-TERM	O
151	the	I-TERM	I-TERM	I-TERM	O
152	-	I-TERM	I-TERM	I-TERM	O
153	loop	I-TERM	I-TERM	I-TERM	O
154	,	O	O	O	O
155	обеспечивающего	O	O	O	O
156	создание	O	O	O	O
157	совместимых	B-TERM	B-TERM	B-TERM	O
158	компонентов	I-TERM	I-TERM	I-TERM	O
159	систем	I-TERM	I-TERM	I-TERM	O
160	автоматизации	I-TERM	I-TERM	I-TERM	O
161	.	O	O	O	O
162	Приведено	O	O	O	O
163	описание	O	O	O	O
164	методики	B-TERM	B-TERM	B-TERM	O
165	тестирования	I-TERM	I-TERM	I-TERM	O
166	АСУ	I-TERM	I-TERM	I-TERM	O
167	ТП	I-TERM	I-TERM	I-TERM	O
168	.	O	O	O	O
169	Данная	O	O	O	O
170	методика	O	B-TERM	B-TERM	O
171	успешно	O	O	O	O
172	применена	O	O	O	O
173	для	O	O	O	O
174	разработки	O	B-TERM	B-TERM	O
175	,	O	O	O	O
176	отладки	O	B-TERM	B-TERM	O
177	и	O	O	O	O
178	тестирования	O	B-TERM	B-TERM	O
179	АСКУ	B-TERM	I-TERM	I-TERM	O
180	ТО	I-TERM	I-TERM	I-TERM	O
181	М	I-TERM	I-TERM	I-TERM	O
182	(	O	O	O	O
183	Автоматизированная	B-TERM	B-TERM	B-TERM	B-TERM
184	система	I-TERM	I-TERM	I-TERM	I-TERM
185	контроля	I-TERM	I-TERM	I-TERM	O
186	и	I-TERM	I-TERM	I-TERM	O
187	управления	I-TERM	I-TERM	I-TERM	O
188	технологическим	I-TERM	I-TERM	I-TERM	O
189	объектом	I-TERM	I-TERM	I-TERM	O
190	во	O	I-TERM	I-TERM	O
191	взрывозащищенном	B-TERM	I-TERM	I-TERM	O
192	исполнении	I-TERM	I-TERM	I-TERM	O
193	).	O	O	O	O
