id	token	Настя	Денис	Лена	tag
111	достоверностью	B-TERM	B-TERM	B-TERM	O
112	и	O	O	O	O
113	точностью	B-TERM	B-TERM	B-TERM	O
114	обнаруживать	B-TERM	O	O	O
115	и	O	O	O	O
116	дифференцировать	B-TERM	O	O	O
117	по	O	O	O	O
118	удельному	B-TERM	B-TERM	B-TERM	O
119	электрическому	I-TERM	I-TERM	I-TERM	O
120	сопротивлению	I-TERM	I-TERM	I-TERM	O
121	объекты	O	B-TERM	B-TERM	O
122	различного	O	O	O	O
123	рода	O	O	O	O
124	.	O	O	O	O
125	На	O	O	O	O
126	основании	O	O	O	O
127	оригинального	B-TERM	O	O	O
128	принципа	I-TERM	B-TERM	B-TERM	O
129	компенсации	I-TERM	I-TERM	I-TERM	O
130	первичного	I-TERM	I-TERM	I-TERM	O
131	поля	I-TERM	I-TERM	I-TERM	O
132	генераторной	I-TERM	I-TERM	I-TERM	O
133	катушки	I-TERM	I-TERM	I-TERM	O
134	была	O	O	O	O
135	разработана	O	O	O	O
136	компактная	B-TERM	B-TERM	B-TERM	O
137	многочастотная	I-TERM	I-TERM	I-TERM	O
138	аппаратура	I-TERM	I-TERM	I-TERM	O
139	для	I-TERM	O	O	O
140	электромагнитного	I-TERM	B-TERM	B-TERM	O
141	профилирования	I-TERM	I-TERM	I-TERM	O
142	.	O	O	O	O
143	В	O	O	O	O
144	результате	O	O	O	O
145	прототипирования	B-TERM	B-TERM	B-TERM	O
146	создана	O	O	O	O
147	оптимальная	B-TERM	O	O	O
148	конструкция	I-TERM	B-TERM	B-TERM	O
149	корпуса	I-TERM	I-TERM	I-TERM	O
150	,	O	O	O	O
151	позволяющая	O	O	O	O
152	реализовать	O	O	O	O
153	данный	O	O	O	O
154	принцип	B-TERM	B-TERM	B-TERM	O
155	компенсации	I-TERM	I-TERM	I-TERM	O
156	.	O	O	O	O
157	Для	O	O	O	O
158	эффективного	O	O	O	O
159	использования	O	O	O	O
160	аппаратурного	B-TERM	B-TERM	B-TERM	O
161	комплекса	I-TERM	I-TERM	I-TERM	O
162	было	O	O	O	O
163	создано	O	O	O	O
164	программное	B-TERM	B-TERM	B-TERM	B-TERM
165	обеспечение	I-TERM	I-TERM	I-TERM	I-TERM
166	QZond	I-TERM	I-TERM	I-TERM	O
167	,	O	O	O	O
168	позволяющее	O	O	O	O
169	управлять	O	O	O	O
170	процессом	B-TERM	B-TERM	B-TERM	O
171	сбора	I-TERM	I-TERM	I-TERM	O
172	информации	I-TERM	I-TERM	I-TERM	O
173	и	O	O	O	O
174	в	O	O	O	O
175	режиме	B-TERM	O	O	O
176	реального	I-TERM	O	O	O
177	времени	I-TERM	O	O	O
178	визуализировать	B-TERM	O	O	O
179	полученные	I-TERM	B-TERM	O	O
180	данные	I-TERM	I-TERM	O	O
181	.	O	O	O	O
182	Проведенные	O	O	O	O
183	полевые	B-TERM	B-TERM	B-TERM	O
184	испытания	I-TERM	I-TERM	I-TERM	O
185	на	O	O	O	O
186	известных	O	O	O	O
187	объектах	B-TERM	B-TERM	B-TERM	O
188	электрометрического	I-TERM	I-TERM	I-TERM	O
189	полигона	I-TERM	I-TERM	I-TERM	O
190	ИНГГ	O	I-TERM	O	O
191	СО	O	I-TERM	O	O
192	РАН	O	I-TERM	O	O
193	,	O	O	O	O
194	при	O	O	O	O
195	поиске	O	O	O	O
196	локальных	B-TERM	B-TERM	B-TERM	O
197	и	I-TERM	O	O	O
198	протяженных	I-TERM	B-TERM	B-TERM	O
199	проводников	I-TERM	I-TERM	I-TERM	O
200	,	O	O	O	O
201	а	O	O	O	O
202	также	O	O	O	O
203	археолого	B-TERM	B-TERM	B-TERM	O
204	-	I-TERM	I-TERM	I-TERM	O
205	геофизические	I-TERM	I-TERM	I-TERM	O
206	исследования	I-TERM	I-TERM	I-TERM	O
207	показывают	O	O	O	O
208	эффективность	O	B-TERM	O	O
209	реализации	O	I-TERM	O	O
210	компактной	B-TERM	I-TERM	B-TERM	O
211	аппаратуры	I-TERM	I-TERM	I-TERM	O
212	электромагнитного	I-TERM	I-TERM	I-TERM	O
213	профилирования	I-TERM	I-TERM	I-TERM	O
214	.	O	O	O	O
